Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
P/2008 S1 (Catalina-McNaught),55101,2454741.329,0.6663127807,15.1007464,203.6490232,111.3920029,1.190641555,5.95,6.74,0.194101,,,,,13,P/2008 S1 (Catalina-McNaught)
P/2008 Y1 (Boattini),54846,2454887.597,0.7348817591,8.805148715,162.3648341,259.7096838,1.27197954,8.32,10.51,0.289617,,,,,13,P/2008 Y1 (Boattini)
P/2008 Y12 (SOHO),55476,2454822.977,0.9787495375,23.34562318,146.6141611,312.5525907,0.06541368648,6.09,5.4,0.044832,,,,,4,P/2008 Y12 (SOHO)
P/2009 L2 (Yang-Gao),55023,2454973.255,0.6209298159,16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,0.287493,,,,,20,P/2009 L2 (Yang-Gao)
P/2009 WX51 (Catalina),55175,2455227.575,0.7402970341,9.592585691,118.0163889,31.75826735,0.7999555439,5.36,5.41,0.009227,,,,,19,P/2009 WX51 (Catalina)
C/2010 L5 (WISE),55379,2455309.645,0.9037561917,147.051681,214.729745,206.4730991,0.7909008329,15.64,23.56,0.113609,,,,,6,C/2010 L5 (WISE)
P/2011 NO1 (Elenin),55758,2455582.092,0.776521252,15.27233838,263.6169668,296.0964602,1.242925561,9.88,13.12,0.380652,,,,,8,P/2011 NO1 (Elenin)
C/2011 S2 (Kowalski),55857,2455860.848,0.9316035445,17.57253024,192.1899464,288.0701102,1.115118144,31.49,65.83,0.13779,,,,,16,C/2011 S2 (Kowalski)
P/2012 NJ (La Sagra),56158,2456091.59,0.8480618337,84.37545937,338.4139159,315.7631836,1.291890069,15.71,24.79,0.315258,,,,,31,P/2012 NJ (La Sagra)
P/2013 CU129 (PANSTARRS),56475,2456511.432,0.7221050362,12.14763226,211.9722717,46.20979967,0.800147691,4.96,4.89,0.085523,,,,,38,P/2013 CU129 (PANSTARRS)
P/2013 TL117 (Lemmon),56674,2456706.719,0.6899137951,9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,0.20162,,,,,45,P/2013 TL117 (Lemmon)
P/2014 U2 (Kowalski),56974,2456937.65,0.6029487638,7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,0.183671,,,,,10,P/2014 U2 (Kowalski)
P/2015 A3 (PANSTARRS),57040,2457076.25,0.8481676984,172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,0.204591,,,,,1,P/2015 A3 (PANSTARRS)
C/2015 D1 (SOHO),57073,2457073.248,0.9942677736,69.61628937,234.9530166,95.88138486,0.02832105639,9.85,10.98,0.515916,0.00000125,,,,3,C/2015 D1 (SOHO)
C/2015 F2 (Polonia),57110,2457141.343,0.9623991817,28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,0.198704,,,,,6,C/2015 F2 (Polonia)
C/2015 F5 (SWAN-Xingming),57124,2457109.599,0.9777341146,149.2569445,13.39233003,287.7390236,0.3460051321,30.73,61.26,0.441413,,,,,2,C/2015 F5 (SWAN-Xingming)
